taiwan_user_id,course_id,course_membership_role,course_membership_ts
ba6d61eccdb05252c1a01c3390bd9dce189d8b00,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-16 01:42:13.331
dad1439bb5371497cbdfb71960e13397986f47fd,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-12 14:59:28.104
91dd7407318406e9a71e2b4bac1a67839a9ba942,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-16 01:42:52.972
986bca2fe7878bb3257d42574003c598a5520d4c,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-16 01:45:25.078
6479fb5cc65feed041715afe467728b3209a489a,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-16 01:46:28.153
883101ebcfad87c71520f45130addfab43c7ab8c,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-16 01:46:54.704
ea7909426d374b1ad881a470b2c319d120a44bdc,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-16 01:44:16.766
b6c1e75679b8dc02a0f53194beaa2b14dccd78eb,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-16 01:43:13.961
ebb3fa2f8445b64dfc50ac7d56d483d7623d679e,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-16 01:57:44.335
f67ea5af0aadc39af7d2ca6b9dac4b01accb0796,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-16 01:31:56.184
04bdd9ad9db1bd50c6738902f2f36619495b1dc0,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-16 01:44:18.425
60790593444c65dbc94c20c7733c4894a399da4a,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-16 01:46:02.536
3147eb062def8be0a40e3934c47e22713126eed3,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-16 01:45:05.571
5e48135612fcb7dc1e643227adfcc3db3a35c2b3,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-16 02:02:42.451
c06ba11aeccf32e75b09481b19858addd3dbb496,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-16 01:42:13.47
b7462916e0d6ec87e63c430c638b47a64b534bb2,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-16 01:43:15.521
e798b3c0b9519bb08d72c01462c4f9370eb44693,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-16 01:48:17.88
fa575a879fe61bb1a5de499ad1b96eb0d80a335b,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-16 01:59:46.959
cd40b9ca5f5d0cc8bd5c6181dcc26534232de031,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-16 01:41:57.598
ff634d6f3149b2104d9d9e1c228a755f419c8f92,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-16 01:42:42.893
03ce38e9f6066ef04d55f81594fc72bbe5c4b7a3,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-16 01:46:07.219
44060c1f174b8e40cd7e54c7207c85d146522940,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-16 01:26:23.676
fb674ca122b0e9735c682df6095bf82d9f9de041,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-16 02:02:38.714
7ee82882332f6a283226aa8882587a0264337c4e,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-10-03 06:17:52.887
b65548806d4ff91b59d96b8672cef03b51ba7175,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-16 01:45:39.151
b1281b5b3d3ac98ee7ed6655fb26929b858f1946,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-16 02:03:17.786
fa2abd46c1ff40d55f979154aa83955b903c4ebf,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-16 01:28:51.887
3ad01530a17bdc5eedf51b3fdaa3e136918bcc19,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-16 01:50:20.659
86ce9191edbed7f93006f20e700abb5344e0e57a,"POZJ3uOtEeSoXCIACw4Gzg","BROWSER",2015-09-23 02:46:16.836
86ce9191edbed7f93006f20e700abb5344e0e57a,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-23 15:15:19.19
1fb67d93a75971943c3ac4f97e8d2aab38a6b179,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-16 01:43:02.651
1d50373ed16a49e70da2d2a16a9f6a73016ea800,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-16 01:42:22.442
7b551202bd26e40186d43bd33fbe9335bcb50991,"POZJ3uOtEeSoXCIACw4Gzg","BROWSER",2015-09-16 01:50:23.994
7b551202bd26e40186d43bd33fbe9335bcb50991,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-16 02:01:55.718
1e8928de9ebce03c8e073b95f53e0e0a336b3901,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-16 01:41:33.989
b35fb6fab5e528b95049af8a9fa949491b835ba7,"POZJ3uOtEeSoXCIACw4Gzg","LEARNER",2015-09-16 00:27:03.051
0a9d39327da645f6f45d6d9cd858093f838bd74b,"POZJ3uOtEeSoXCIACw4Gzg","UNIVERSITY_ADMIN",2015-04-15 20:23:12.082
