course_id,course_item_id,assessment_id
"POZJ3uOtEeSoXCIACw4Gzg","VbM7a","QqtXCOOtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","du7Yk","Px5gCOOtEeS_7SIACxCfaQ@3"
"POZJ3uOtEeSoXCIACw4Gzg","7DQYI","PzdmTuOtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v","P5TI8-OtEeS_7SIACxCfaQ@1"
"POZJ3uOtEeSoXCIACw4Gzg","mHZLg","K7qVnQjhEeWCQyIAC5XEog@7"
"POZJ3uOtEeSoXCIACw4Gzg","dUT2M","A0XgSvlIEeS7YiIAC0KBkQ@6"
"POZJ3uOtEeSoXCIACw4Gzg","sNQuq","QsBlsOOtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","Qm8kd","7Z6FEA8qEeWjlSIACxCHZA@9"
"POZJ3uOtEeSoXCIACw4Gzg","UKpv5","Qsh8AuOtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","0qMnN","Qt-tjOOtEeS_7SIACxCfaQ@1"
"POZJ3uOtEeSoXCIACw4Gzg","7DQYI","PzdmTuOtEeS_7SIACxCfaQ@1"
"POZJ3uOtEeSoXCIACw4Gzg","Qm8kd","7Z6FEA8qEeWjlSIACxCHZA@29"
"POZJ3uOtEeSoXCIACw4Gzg","fx2cL","QkPjCeOtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","P2dKC","P6SneOOtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","1AWPc","P7bP7uOtEeS_7SIACxCfaQ@1"
"POZJ3uOtEeSoXCIACw4Gzg","Qm8kd","7Z6FEA8qEeWjlSIACxCHZA@10"
"POZJ3uOtEeSoXCIACw4Gzg","dUT2M","A0XgSvlIEeS7YiIAC0KBkQ@1"
"POZJ3uOtEeSoXCIACw4Gzg","JiH1W","86CCsYfPEeSb9SIACzCJlg@4"
"POZJ3uOtEeSoXCIACw4Gzg","ka1Nf","8-x_H4fPEeSb9SIACzCJlg@8"
"POZJ3uOtEeSoXCIACw4Gzg","8fVvc","P6ATluOtEeS_7SIACxCfaQ@1"
"POZJ3uOtEeSoXCIACw4Gzg","RfSxV","PqJsa-niEeSBAyIAC0yDbg@4"
"POZJ3uOtEeSoXCIACw4Gzg","Qm8kd","7Z6FEA8qEeWjlSIACxCHZA@21"
"POZJ3uOtEeSoXCIACw4Gzg","ZOw05","PzJdPOOtEeS_7SIACxCfaQ@4"
"POZJ3uOtEeSoXCIACw4Gzg","wFqWC","Qszo1OOtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","Qm8kd","7Z6FEA8qEeWjlSIACxCHZA@15"
"POZJ3uOtEeSoXCIACw4Gzg","ka1Nf","8-x_H4fPEeSb9SIACzCJlg@1"
"POZJ3uOtEeSoXCIACw4Gzg","iFuUg","P7GfzOOtEeS_7SIACxCfaQ@9"
"POZJ3uOtEeSoXCIACw4Gzg","du7Yk","Px5gCOOtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","JiH1W","86CCsYfPEeSb9SIACzCJlg@6"
"POZJ3uOtEeSoXCIACw4Gzg","mIUnh","DwWleQjhEeWk6iIAC3_PpA@2"
"POZJ3uOtEeSoXCIACw4Gzg","mIUnh","DwWleQjhEeWk6iIAC3_PpA@5"
"POZJ3uOtEeSoXCIACw4Gzg","gPRr9","QzQPxeOtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","Qm8kd","7Z6FEA8qEeWjlSIACxCHZA@16"
"POZJ3uOtEeSoXCIACw4Gzg","lfrEt","QQ03lOOtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","Qm8kd","7Z6FEA8qEeWjlSIACxCHZA@27"
"POZJ3uOtEeSoXCIACw4Gzg","fGSCT","TAkmugjhEeWCQyIAC5XEog@3"
"POZJ3uOtEeSoXCIACw4Gzg","ka1Nf","8-x_H4fPEeSb9SIACzCJlg@5"
"POZJ3uOtEeSoXCIACw4Gzg","7DQYI","PzdmTuOtEeS_7SIACxCfaQ@5"
"POZJ3uOtEeSoXCIACw4Gzg","UKpv5","Qsh8AuOtEeS_7SIACxCfaQ@3"
"POZJ3uOtEeSoXCIACw4Gzg","iFuUg","P7GfzOOtEeS_7SIACxCfaQ@3"
"POZJ3uOtEeSoXCIACw4Gzg","eBNe7","Q0Umy-OtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","cFvam","QO4Wx-OtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","g4SnF","QjZ1heOtEeS_7SIACxCfaQ@1"
"POZJ3uOtEeSoXCIACw4Gzg","loU2f","auc45AjhEeWTpSIAC4-MSg@4"
