assessment_question_type_id,assessment_question_type_desc
8,"regex"
12,"checkboxReflect"
6,"poll"
3,"continue"
2,"checkbox poll"
7,"reflect"
9,"single numeric"
10,"text exact match"
11,"mcqReflect"
5,"mcq"
1,"checkbox"
4,"math expression"
