discussion_answer_id,taiwan_discussions_user_id,course_id,discussion_answer_content,discussion_question_id,discussion_answer_parent_discussion_answer_id,discussion_answer_created_ts,discussion_answer_updated_ts
"ClFu24WyEeWL6AoNmIctaQ",2dc979f925fabd199b2d7ae697de0eeb4c6720c5,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>很好的建議。我們現在有點困擾各種版本的軟體，ㄢ有些指令和做法有不一樣，我在考徵募一些志工幫忙測試，集合大家的經驗，發揮線上學習的優點。</text><text/></co-content>","p3OS7oB7EeWZiRK7avAQuw","qFiEX4D-EeWJ9A6FwJWGqQ",2015-11-08 00:45:42.845,2015-11-08 00:45:42.845
"teEUguFIEeW_LA6kKeHOuw",2dc979f925fabd199b2d7ae697de0eeb4c6720c5,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>好高興了解每一個人在Coursera的故事!!</text></co-content>","eYAXX-A-EeW_LA6kKeHOuw","",2016-03-03 14:03:30.999,2016-03-03 14:03:30.999
"gNwbaxdxEeWmISIAC9QOog",2dc979f925fabd199b2d7ae697de0eeb4c6720c5,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>感謝提出，我們會看看是否能讓圖形小一點。</text><text>康老師</text></co-content>","WrH8mhV8EeWHGCIACznL2w","",2015-06-20 17:26:36.532,2015-06-20 17:26:36.532
"Rq-P5VntEeWKaRJGciUWiw",2dc979f925fabd199b2d7ae697de0eeb4c6720c5,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>真高興讓你有收穫又上得開心！感謝你的支持。</text><text>加油哦！！</text></co-content>","bRxm8lnHEeWkVgp3YUjFSw","",2015-09-13 07:58:53.27,2015-09-13 07:58:53.27
