course_id,course_item_id,taiwan_user_id,course_progress_state_type_id,course_progress_ts
"POZJ3uOtEeSoXCIACw4Gzg","0qMnN",5e48135612fcb7dc1e643227adfcc3db3a35c2b3,2,2015-10-18 15:22:11.901
"POZJ3uOtEeSoXCIACw4Gzg","0qMnN",7ee82882332f6a283226aa8882587a0264337c4e,1,2015-10-21 02:34:57.35
"POZJ3uOtEeSoXCIACw4Gzg","0qMnN",04bdd9ad9db1bd50c6738902f2f36619495b1dc0,2,2015-10-17 07:31:39.792
"POZJ3uOtEeSoXCIACw4Gzg","0qMnN",3147eb062def8be0a40e3934c47e22713126eed3,2,2015-10-11 05:28:25.977
"POZJ3uOtEeSoXCIACw4Gzg","0qMnN",3ad01530a17bdc5eedf51b3fdaa3e136918bcc19,1,2015-10-21 02:15:15.251
"POZJ3uOtEeSoXCIACw4Gzg","0qMnN",3ad01530a17bdc5eedf51b3fdaa3e136918bcc19,1,2015-12-08 19:27:38.76
"POZJ3uOtEeSoXCIACw4Gzg","0qMnN",986bca2fe7878bb3257d42574003c598a5520d4c,1,2015-10-20 15:21:05.90
"POZJ3uOtEeSoXCIACw4Gzg","0qMnN",fa2abd46c1ff40d55f979154aa83955b903c4ebf,1,2015-10-13 15:02:45.287
"POZJ3uOtEeSoXCIACw4Gzg","0qMnN",ea7909426d374b1ad881a470b2c319d120a44bdc,2,2015-10-18 03:17:21.079
"POZJ3uOtEeSoXCIACw4Gzg","0qMnN",fa2abd46c1ff40d55f979154aa83955b903c4ebf,2,2015-10-14 01:13:18.493
"POZJ3uOtEeSoXCIACw4Gzg","0qMnN",07b763e3c87a0431ae9526b4a0e209b41ced4525,2,2015-10-15 14:43:49.505
"POZJ3uOtEeSoXCIACw4Gzg","0qMnN",ba6d61eccdb05252c1a01c3390bd9dce189d8b00,2,2015-10-12 04:12:10.225
"POZJ3uOtEeSoXCIACw4Gzg","0qMnN",fa2abd46c1ff40d55f979154aa83955b903c4ebf,1,2015-10-14 01:01:44.79
"POZJ3uOtEeSoXCIACw4Gzg","0qMnN",7b551202bd26e40186d43bd33fbe9335bcb50991,2,2015-10-18 09:18:35.466
"POZJ3uOtEeSoXCIACw4Gzg","0qMnN",1fb67d93a75971943c3ac4f97e8d2aab38a6b179,1,2015-10-14 03:45:12.061
"POZJ3uOtEeSoXCIACw4Gzg","0qMnN",1fb67d93a75971943c3ac4f97e8d2aab38a6b179,2,2015-10-14 04:03:02.34
"POZJ3uOtEeSoXCIACw4Gzg","0qMnN",b65548806d4ff91b59d96b8672cef03b51ba7175,2,2015-10-20 14:41:30.568
"POZJ3uOtEeSoXCIACw4Gzg","0qMnN",e798b3c0b9519bb08d72c01462c4f9370eb44693,2,2015-10-21 02:29:43.917
"POZJ3uOtEeSoXCIACw4Gzg","0qMnN",44060c1f174b8e40cd7e54c7207c85d146522940,1,2016-01-05 02:46:52.001
"POZJ3uOtEeSoXCIACw4Gzg","0qMnN",389ef563c67909acdd6190e5fa2613da558453f2,2,2015-10-21 01:42:19.538
