assessment_pattern_flag_type_id,assessment_pattern_flag_type_desc
1,"UNIX_LINES"
64,"UNICODE_CASE"
2,"CASE_INSENSITIVE"
32,"DOTALL"
128,"CANON_EQ"
256,"UNICODE_CHARACTER_CLASS"
4,"COMMENTS"
16,"LITERAL"
8,"MULTILINE"
