course_id,course_item_id,taiwan_user_id,course_quiz_grade_ts,course_quiz_grade,course_quiz_max_grade
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",0a9d39327da645f6f45d6d9cd858093f838bd74b,2015-06-11 13:54:09.072,10,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",fa2abd46c1ff40d55f979154aa83955b903c4ebf,2015-09-18 05:23:39.807,11,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",fb674ca122b0e9735c682df6095bf82d9f9de041,2015-09-22 09:30:06.359,11,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",86ce9191edbed7f93006f20e700abb5344e0e57a,2015-09-30 07:50:21.38,10,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",df77e50a622a7aaf8cc2b70d5a4cec81a2a77ca1,2015-09-23 03:02:16.53,11,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",5e48135612fcb7dc1e643227adfcc3db3a35c2b3,2015-10-20 14:18:52.05,7,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",7b551202bd26e40186d43bd33fbe9335bcb50991,2015-09-16 03:00:07.259,11,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",1e8928de9ebce03c8e073b95f53e0e0a336b3901,2015-09-23 03:12:01.973,11,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",b35fb6fab5e528b95049af8a9fa949491b835ba7,2015-09-23 03:58:24.601,11,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",44060c1f174b8e40cd7e54c7207c85d146522940,2015-09-22 18:04:39.845,11,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",f67ea5af0aadc39af7d2ca6b9dac4b01accb0796,2015-09-22 16:57:37.385,11,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",389ef563c67909acdd6190e5fa2613da558453f2,2015-09-20 13:20:41.796,11,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",fa575a879fe61bb1a5de499ad1b96eb0d80a335b,2015-09-25 02:36:10.586,11,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",1d50373ed16a49e70da2d2a16a9f6a73016ea800,2015-09-30 01:32:08.248,9,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",cd40b9ca5f5d0cc8bd5c6181dcc26534232de031,2015-09-22 14:31:20.589,10,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",b6c1e75679b8dc02a0f53194beaa2b14dccd78eb,2015-09-16 06:15:36.179,11,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",b65548806d4ff91b59d96b8672cef03b51ba7175,2015-09-22 16:57:21.379,11,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",1944385aaaed7497783149b0f027ade317a4bdd6,2015-10-18 16:51:19.141,11,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",ff634d6f3149b2104d9d9e1c228a755f419c8f92,2015-10-20 14:15:43.181,11,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",91dd7407318406e9a71e2b4bac1a67839a9ba942,2015-09-30 01:52:08.445,9,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",1fb67d93a75971943c3ac4f97e8d2aab38a6b179,2015-09-16 02:17:49.645,11,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",3147eb062def8be0a40e3934c47e22713126eed3,2015-09-18 13:20:38.793,11,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",b7462916e0d6ec87e63c430c638b47a64b534bb2,2015-09-16 02:26:00.223,10,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",883101ebcfad87c71520f45130addfab43c7ab8c,2015-09-16 02:12:36.181,7,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",ea7909426d374b1ad881a470b2c319d120a44bdc,2015-09-16 01:54:15.266,11,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",04bdd9ad9db1bd50c6738902f2f36619495b1dc0,2015-09-16 01:48:52.106,11,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",2bdd67351205999e30e3b0cd33cf53a2757f52eb,2015-09-16 02:22:37.251,10,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",60790593444c65dbc94c20c7733c4894a399da4a,2015-09-23 03:24:00.148,11,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",986bca2fe7878bb3257d42574003c598a5520d4c,2015-09-22 13:46:46.37,11,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",6479fb5cc65feed041715afe467728b3209a489a,2015-09-16 03:29:07.055,11,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",9e470abba14c8a702f7d54edba390fa8f2cae4d1,2015-09-27 11:26:56.153,11,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",03ce38e9f6066ef04d55f81594fc72bbe5c4b7a3,2015-09-18 09:28:32.254,11,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",ebb3fa2f8445b64dfc50ac7d56d483d7623d679e,2015-09-23 03:02:48.05,11,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",3ad01530a17bdc5eedf51b3fdaa3e136918bcc19,2015-10-03 11:24:24.034,11,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",493f3d455d1e5d05be1fc59f06abe3cb0c279c60,2015-09-20 02:14:51.376,11,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",b1281b5b3d3ac98ee7ed6655fb26929b858f1946,2015-09-22 12:44:58.082,11,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",e798b3c0b9519bb08d72c01462c4f9370eb44693,2015-09-16 15:25:53.816,11,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",07b763e3c87a0431ae9526b4a0e209b41ced4525,2015-09-23 02:41:23.117,11,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",b4a7f5d77c38c585a7015c9d9871c37dcca9039a,2015-09-23 03:25:57.263,11,11
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v",7ee82882332f6a283226aa8882587a0264337c4e,2015-10-03 06:19:27.89,11,11
"POZJ3uOtEeSoXCIACw4Gzg","RfSxV",fa2abd46c1ff40d55f979154aa83955b903c4ebf,2015-09-20 07:42:50.765,2,2
