taiwan_discussions_user_id,course_id,discussion_question_id,discussion_question_vote_value,discussion_question_vote_ts
5a51df8ed2cd7caf59fa0fcd72cd1e213c044167,"POZJ3uOtEeSoXCIACw4Gzg","QRlHwRpbEeWA7CIAC5WDNQ",1,2015-07-07 17:28:22.236
1115a3d8d8099f51bf4f11a1f1df325e70cf3267,"POZJ3uOtEeSoXCIACw4Gzg","_QKA0GzdEeWWpw7gge8ZbQ",1,2015-10-07 15:45:21.971
1115a3d8d8099f51bf4f11a1f1df325e70cf3267,"POZJ3uOtEeSoXCIACw4Gzg","DPFBUC9OEeWOkCIAC4UG7w",1,2015-10-09 04:46:34.993
5a51df8ed2cd7caf59fa0fcd72cd1e213c044167,"POZJ3uOtEeSoXCIACw4Gzg","VYVowSU8EeW_lSIAC0kOqg",1,2015-07-08 14:17:39.549
746c5424b5a458af08b09047be7afb880034219e,"POZJ3uOtEeSoXCIACw4Gzg","gkkkpnmuEeWb4g4qCdqdUQ",1,2015-10-25 12:26:22.716
05e685f0ec56c0613833590c51fa66e8079c4dcc,"POZJ3uOtEeSoXCIACw4Gzg","gkkkpnmuEeWb4g4qCdqdUQ",1,2016-03-11 03:00:09.65
1115a3d8d8099f51bf4f11a1f1df325e70cf3267,"POZJ3uOtEeSoXCIACw4Gzg","YkGiJm5sEeWy9BLlActDnw",1,2015-10-12 10:02:39.965
e4c22103c597c97d163fbb4b007ff350f14b5727,"POZJ3uOtEeSoXCIACw4Gzg","HOVQshOlEeWHGCIACznL2w",1,2015-06-17 01:55:28.514
7fa4ac53ae4d34a0eee7bcd18672d055df64c680,"POZJ3uOtEeSoXCIACw4Gzg","HOVQshOlEeWHGCIACznL2w",1,2015-06-15 22:07:24.424
71ae02883e0a58006188e1812a802a1b6f9d29eb,"POZJ3uOtEeSoXCIACw4Gzg","HOVQshOlEeWHGCIACznL2w",1,2015-07-19 05:39:37.574
b8db45739496298d3dd7e7b3a1d302e3cb306776,"POZJ3uOtEeSoXCIACw4Gzg","HOVQshOlEeWHGCIACznL2w",1,2015-06-17 06:33:11.694
2ea45f254b5b2991b3da6b6f081bd57fd9642a74,"POZJ3uOtEeSoXCIACw4Gzg","HOVQshOlEeWHGCIACznL2w",1,2015-06-15 22:39:33.422
485a26139a240cc6051c8c42db27d19bf74e35e2,"POZJ3uOtEeSoXCIACw4Gzg","HOVQshOlEeWHGCIACznL2w",1,2015-06-16 05:52:34.024
ac42bbaef7ffacda82edb86955f70c384e204a36,"POZJ3uOtEeSoXCIACw4Gzg","HOVQshOlEeWHGCIACznL2w",1,2015-06-15 22:59:14.718
5e82ebd975ddd38208014589d3779e78b53f89ef,"POZJ3uOtEeSoXCIACw4Gzg","HOVQshOlEeWHGCIACznL2w",1,2015-06-15 23:41:25.722
