course_id,feedback_system,taiwan_feedback_user_id,feedback_category,feedback_text,feedback_ts
"POZJ3uOtEeSoXCIACw4Gzg","STAR",c81aaa2d92602cea45d1e68c1655a4b24f4f0aa3,"generic","<co-content></co-content>",2015-08-14 11:46:50.269
"POZJ3uOtEeSoXCIACw4Gzg","STAR",076e7561d640329c3d9b57873a2185aba94f92ce,"generic","<co-content></co-content>",2016-01-17 07:39:29.459
"POZJ3uOtEeSoXCIACw4Gzg","STAR",c4863dad952c51bf752cc6f6258c521e48a9c84c,"generic","<co-content></co-content>",2015-08-14 02:24:41.953
"POZJ3uOtEeSoXCIACw4Gzg","STAR",655766aab465aa1fe87f7ffa581ee3c41b7a62ac,"generic","<co-content></co-content>",2015-08-17 12:38:31.11
"POZJ3uOtEeSoXCIACw4Gzg","STAR",fddc6fc49002a26b650470ea0c15885800c7c909,"generic","<co-content><text>基础课 ，讲的通俗易懂。</text></co-content>",2015-08-16 03:06:25.864
"POZJ3uOtEeSoXCIACw4Gzg","STAR",9bea8a90e18fe3f2d84c61a75e10a36ea52809f7,"generic","<co-content><text>棒棒哒</text></co-content>",2015-12-04 04:00:25.155
"POZJ3uOtEeSoXCIACw4Gzg","STAR",476085d618420bb4e764b0537d63653a0b5762cf,"generic","<co-content></co-content>",2015-08-18 20:38:26.038
"POZJ3uOtEeSoXCIACw4Gzg","NPS_END_OF_COURSE",8472ba59f6691c3e2c72cebec62ef14021c11e71,"NPS_REASON","<co-content><text>簡單易懂，實用的教學，適合做為入門</text><text/></co-content>",2016-03-27 15:18:17.678
"POZJ3uOtEeSoXCIACw4Gzg","STAR",4c54227efbedd0794037b385f67995623dc20f17,"generic","<co-content><text>学到了很多基础知识~很棒的课程</text></co-content>",2015-08-23 10:39:25.985
"POZJ3uOtEeSoXCIACw4Gzg","STAR",e31e7cb49802b1a85ea4bf427f170418cf19430a,"generic","<co-content></co-content>",2015-10-21 05:36:08.872
"POZJ3uOtEeSoXCIACw4Gzg","STAR",1fba579e0ac8f260499cda2473ddcd48d4d89ea1,"generic","<co-content></co-content>",2015-10-16 00:49:39.653
"POZJ3uOtEeSoXCIACw4Gzg","STAR",bec49a99a7bfd51270fc9e38a6875ad93b17d57c,"generic","<co-content></co-content>",2015-12-11 00:34:09.014
"POZJ3uOtEeSoXCIACw4Gzg","STAR",2d33991dd9bbe22d820f2b9e079edd094c96150a,"generic","<co-content></co-content>",2016-01-18 06:09:44.449
"POZJ3uOtEeSoXCIACw4Gzg","NPS_END_OF_COURSE",2d33991dd9bbe22d820f2b9e079edd094c96150a,"NPS_REASON","<co-content><text>very fun instructor.</text></co-content>",2016-03-27 15:52:50.812
"POZJ3uOtEeSoXCIACw4Gzg","STAR",ffcdf62bcae1e7e566e7eb577fdcf0d1c22c9c34,"generic","<co-content></co-content>",2015-12-08 07:01:59.485
"POZJ3uOtEeSoXCIACw4Gzg","STAR",ffe9b56c9c27a5862cd2c0358d2e953c97a53591,"generic","<co-content><text>这门课程</text><text /></co-content>",2015-09-10 05:34:42.063
"POZJ3uOtEeSoXCIACw4Gzg","STAR",471d40b52648c1c5bc69bc2782bb55c8bc0f9f2f,"generic","<co-content></co-content>",2016-01-15 17:16:07.653
"POZJ3uOtEeSoXCIACw4Gzg","NPS_FIRST_WEEK",0110bdf0d79ba299d251ca9bce708c6e3f9f7814,"NPS_REASON","<co-content></co-content>",2016-03-22 13:28:53.889
"POZJ3uOtEeSoXCIACw4Gzg","STAR",325c3f3a5235b8a8e1f00966f562d712a8788c47,"generic","<co-content></co-content>",2015-08-18 08:07:36.579
"POZJ3uOtEeSoXCIACw4Gzg","STAR",02019ebedc37afdda70b72b8b16c1b19772f521b,"generic","<co-content></co-content>",2016-01-04 08:42:23.837
"POZJ3uOtEeSoXCIACw4Gzg","STAR",6957edbd602bca23b253b53936a600a92b2597fb,"generic","<co-content></co-content>",2015-08-17 18:21:13.692
"POZJ3uOtEeSoXCIACw4Gzg","STAR",54cf0f19fdd5ba9dfeae31cb1e151eccad67264e,"generic","<co-content></co-content>",2015-12-04 13:12:55.381
"POZJ3uOtEeSoXCIACw4Gzg","STAR",ab52b7ddb42bde47325a69a1fbda9cc60b8c76e5,"generic","<co-content></co-content>",2015-10-03 06:01:18.126
"POZJ3uOtEeSoXCIACw4Gzg","STAR",f338896a2adac287aa504a923e1cbecffa4fa61c,"generic","<co-content></co-content>",2015-11-28 12:51:26.261
"POZJ3uOtEeSoXCIACw4Gzg","STAR",1f9d135aa3695ac0a8341742d804b7f1f2b971fe,"generic","<co-content></co-content>",2015-09-18 13:25:41.425
"POZJ3uOtEeSoXCIACw4Gzg","NPS_END_OF_COURSE",1f9d135aa3695ac0a8341742d804b7f1f2b971fe,"NPS_REASON","<co-content><text>实用</text></co-content>",2016-04-12 03:48:20.271
"POZJ3uOtEeSoXCIACw4Gzg","STAR",1abf75c14eaa13cf2588fb7c2aaa8cbbc2faad58,"generic","<co-content><text>简单易懂！</text></co-content>",2015-08-07 03:29:45.873
"POZJ3uOtEeSoXCIACw4Gzg","STAR",3ae633215453fc581e654958368b424b8ac7aee1,"generic","<co-content><text>很好，老师很负责人呢。</text></co-content>",2016-01-03 08:30:53.881
"POZJ3uOtEeSoXCIACw4Gzg","STAR",6a8408567d3f6131d2b14bdd22c37fee7f707b07,"generic","<co-content></co-content>",2015-11-28 13:22:01.436
"POZJ3uOtEeSoXCIACw4Gzg","STAR",f869475fe2c43004c31d212374c34a3249085bea,"generic","<co-content></co-content>",2015-09-03 13:40:45.137
"POZJ3uOtEeSoXCIACw4Gzg","STAR",6715090d2a978cd80449eda541c5700574774044,"generic","<co-content></co-content>",2015-12-30 02:15:53.642
"POZJ3uOtEeSoXCIACw4Gzg","STAR",b5af88c9e3db83112c5d63f922ac834c96e5a47f,"generic","<co-content><text>第二次上这门课程。去年参加课程的时候是第一门华文认证课程。虽然我的作业都是认证过的，当时没有申请签名认证。现在重新参加认证上一遍。回顾知识，做做笔记，感觉还是挺不错的。作业改了好多好多。以前都是要做的，感觉很多。现在分为计分和不计分的。全部加起来的作业量的确有点多，但是计分的不是很多。作业难度降低了好多，都有给出明确的操作步骤，而且有参考范例。所以说，给入门的同学学习还是不错的。课程材料都是去年的，只是增加了部分影片哦~~~  </text></co-content>",2015-08-14 04:57:11.973
"POZJ3uOtEeSoXCIACw4Gzg","STAR",497b34959f209dcbf14224723ee69f8bb891a56e,"generic","<co-content></co-content>",2016-01-19 08:39:48.94
"POZJ3uOtEeSoXCIACw4Gzg","STAR",4416196f9333235870eb3a69bfa1e822cf52a984,"generic","<co-content><text>由浅入深，很好的一门课。</text></co-content>",2015-08-24 10:58:51.41
