peer_comment_id,peer_submission_id,taiwan_peer_assignments_user_id,peer_comment_created_ts,peer_comment_text
"pGu6iiyZEeWu2iIACucCZg","ORUjziiwEeWmXSIAC00EeA",7b2c6a819dbea3b3932233dab06bdb4e6ae28331,2015-07-17 15:36:50.481,"同学这个不是手绘吧？"
"uU_0ljR5EeWddiIAC9pDDA","ORUjziiwEeWmXSIAC00EeA",02750b12e1ba62e911e991a08ccdf3c4de7b3bef,2015-07-27 16:08:30.938,"暈了"
"GijvEVm5EeWYng6rkEfI9w","g9qk8laNEeWKmQoJyDBkQQ",0d607cfdbf6343a78779229f0e2ffa0c3ce0754e,2015-09-13 01:45:24.738,"记得把辅助线擦掉哦"
"lMd-hT62EeW2ASIACxeTpg","jdrCyDcwEeWPACIACw4G5w",ff01d7c5c8154846e73318cedbaf5c3382ef89e6,2015-08-09 16:49:20.574,"作业提交的晚希望帮忙审评，谢谢"
"EG999XqBEeWqXg7D-Kwb-Q","AN4PaBplEeWHGCIACznL2w",7599f95de00347fe2043668b4ffbe28da042aae8,2015-10-24 18:57:24.978,"這個太極內部的兩小圓之圓心與兩弧之弧心，是在同ㄧ直線(x = 2293.27)上。但可能在閱讀期間有失誤，故評論出錯。我認為閣下的作品是完美的。"
"fBIJgES-EeWSTg7F_5iDhQ","vb84jEGbEeWBGw50Rft1Mw",ea27f1222134bf59b3aff8f002affa95d9d9254a,2015-08-17 09:01:02.07,"壓縮變形，點擊右鍵-”在新標簽頁中打開圖片“"
"pTOr80S-EeWBcQqYSpqLgQ","vb84jEGbEeWBGw50Rft1Mw",ea27f1222134bf59b3aff8f002affa95d9d9254a,2015-08-17 09:02:11.077,"似乎拍攝時角度有問題，沒有正對圖片。"
"ymoFBUHAEeWBHArcQOD9cw","vb84jEGbEeWBGw50Rft1Mw",96d5991aa421249bebd72b3c007c28b90e905f37,2015-08-13 13:39:59.014,"請幫忙互評喔！謝謝！"
"eqSEfO8SEeWlJhJpbKSYeQ","KFmvVeG-EeWchRLuIyhEMw",8d57074f8a698935a97dc938a40ad4bded63cac9,2016-03-21 03:10:35.072,"很好，要是线条用成粗线就更完美了。"
"TsJljT66EeWGtiIAC7XhOg","hwVToDhqEeWF2iIACyygBg",ff01d7c5c8154846e73318cedbaf5c3382ef89e6,2015-08-09 17:16:01.087,"希望帮忙审评，谢谢"
"zjZhFn3eEeWphQoyro-DUQ","RCWoSHb9EeWDzg4yGnIlTw",2360d068070278d2270335fc928d3fdea8cf07fc,2015-10-29 01:46:00.055,"感謝,煩請各位幫忙打分數< 515 AutoCAD繪製三視圖 EG Cube #3> ,各位若有需要的,也請告知>>>>再次感謝"
"STqGHE_nEeWpgBJUo9Z-Uw","Cul57U4OEeWxHxIGetKceQ",503cf4fbe26c110fe7043ce88efab6fc2a4295e2,2015-08-31 13:50:48.928,"求互评！"
"CsTg-Rl5EeWM2iIAC0KUpw","ocuLMxl0EeWA7CIAC5WDNQ",e39e6b248301bbf5521820c7ba4ecf56dd70355a,2015-06-23 07:25:36.708,"After you finish the draft, comparison between the object (here the picture) and your drawing and making modifications accordingly could help you improve your works."
"Kml5X0gQEeW3ghKGHbZhrw","KzZBGEewEeWZLg5CpYfLdQ",4d3a9a04fdc20d059abee801a7f2b2f53c822e4d,2015-08-21 14:23:17.29,"呀呀呀，李小龙。名字不错画的不错。"
"UGRsCUQCEeWPFgp1wk3USw","_OuXiD8GEeW2ASIACxeTpg",1d9b630d9da7a5618e95a2822693077d0d2a5793,2015-08-16 10:34:03.405,"求互评，谢谢！"
