taiwan_user_id,_2d_cad_user_id
0001b5417aee1b9b011aac120b667bbb205afbd1,43d06345a8eb9e3123dc36ba8f3674e4f731392d
0004d7ba94c26145dd5e80b8b5e2944721baee4a,6cce46be5722f9008893934b301ad8ee42e72de9
0004ece3a782583027f7c4006b135f88bee39f9e,346a0a4d5fcf537ef9c49ad1c0edf74e7d3da1cf
0008277121db721ac4997117b374871135f4ff77,8e6129f571a1407f564664053688a0a24c17c8cc
0009d37581c5374fd2eb7afc9fca925e5c68f08c,10b0ec8491cf3232d0f652147e83d238bd733fb9
000b6acefaf66bf880c59bd18222424e8bf31128,55351b89dafd07fd5bff18b3f68e7b232866badd
000ddda7be6caa6ac3f8d3bd7fdabc875b7593a1,b666fb65c88c1fd688535af0a5cb81582fef4943
0018c3e6e2bcae55e754c97a08efb2cdb376a66b,029decc2ef6e9fa3ed2862e20f340afc07608bd7
001fab578ada103623cc959352caf1ac7baba9b0,7c7dc42e2059360c87938c3e8ee2d5afcf729629
00201080827e3b289969701f0a2167dbf441d20f,57c60a5ef6b4e2ac39781eb02e18ba66b2e30114
00263138ff7199f25cf6d3c9bbf0157a8df6811e,07ba7dc3c31630e4ac09b9c07eea7646ec58dd54
003319076415fd8ea05fe54a1826b2bc2ad408aa,6443747cbe03c143df1730fc1446e6171d74921e
003351c83a4d8ddeac986bb88ab3248e8cd3d820,a248e67559456349cb3b028df4b419557e12ca4b
00354dd096ba2fcd36413034434a2ac4b769072f,e4ed3dbdc9a705a9016effa0dead52ad90a9f03a
0052255b5bad870bb85b35044812f17c50b1671d,221a3157c1bc8d1692ae3ab1a77650d0cb35d20a
005a9c89e1a48b129442a811f519e91065a7faeb,e1f33fc5e56f9f618bd3ab3dfbb0520001f2629d
0062bff1dcb8d67a544d42d2e06ecff7b6eb945a,71e1dd981c15d96ba41165b7607b97052e5e1aef
007518ced008d023bb0d2780cb6f7fd9c3155506,c87fb047dffa53799fde75a50337ce116bed0bb5
0078a0dca07504016c8a37287cf1cfe57406635e,b629900e2014a6e759c3f0395aacaa2452b33128
008276c5df1db073ee34440ed397f69b34cb5f75,12f94bcfd27b1b26aee1265edebb677196ed7657
00a1eeb161f4725d43a4c64fa0ec40091bcba081,73727a0837cc6656f55fb20dd3824c6b1e7b4274
00ac6e2bfd57b1c731affb74c277ba98fe82f600,3e888884e9ec37a64f1feaf47ece730fc677e69a
00ac800d158ca8f0945104178762fa2126a16bf3,14d81caf4ce6f8ef70b4fc23da4a54499b8e0c06
00ae6daf5e1f75ec60515738b90b3a726f600363,528a70be42ca8813eaf8735265bea94c5bc02342
00b0bb94275dcfd5be392cef99b85d4b9ec6185d,ce2602f98d06827bdbd2bd64316c3f60bef359ec
00b773df3bc5d1f9f988937dde50240fdb140927,ca1f3007a9b8ab87721273b3250587155eb382e4
00b95a6c8358c8bae5d6972e427b2d6f8a820d94,f755a5ae29518feff0047e6eea3c5dd296c86962
00b9d92da11d27597e502438194707a3528ecd01,dfff81b4e9ae054c4ff3bd578eb86874c13dca6a
00c2e9071a66360b6fbdcde16979aa6a539a756a,986c4ec5d62728641a52ef08fcf71f4526413331
00d397811b54cf4ee716a662dabd98510a7d1097,2bdb13b6175862843bf43c0a0f65442bc1b8aef8
00dff9bd2eb3e568206ad944d58f4a2f62e018ed,6ec878f6a6a1894fda53a8337302bc33c7c701ba
0107be2ba1d0cb05a24a1f41b2b8b5acf0e4dd7c,b5522a9e40a6b9a383cc43925f9911ad3afc791a
010a1319bd0418c58c6b12947e0d5b4c05e8d008,3fc49defbda43ad1867afc83b64bf4cba8bbb408
010a63e70c4292c1cdde10dd4d89f8578efc071f,f93fb48728769bc16ff23f36341e56106c3ecdec
010ec63283412ac28caabb50a81d6af069aaaba7,a1b155b14b149f1bf71205da14b9190b52fd7b92
01104730afcddfa6c8efd0411783e40753dd7611,5d14c1b611eb217d675076b96041541afc44488e
01125c78dd62fadafc4e1dadade892eb71ef0a9d,46fae3f4941057c206516eeb6a06fe1a1b54783a
