course_id,on_demand_session_id,on_demand_sessions_start_ts,on_demand_sessions_end_ts,on_demand_sessions_enrollment_end_ts
"POZJ3uOtEeSoXCIACw4Gzg","CUBwS--dEeWlJhJpbKSYeQ",2016-05-23 07:00:00,2016-07-25 06:59:59,2016-05-28 07:00:00
"POZJ3uOtEeSoXCIACw4Gzg","CUAifO-dEeWeyQ6xu8k3Vw",2016-06-20 07:00:00,2016-08-22 06:59:59,2016-06-25 07:00:00
"POZJ3uOtEeSoXCIACw4Gzg","CT-tgu-dEeWK_Q7eN25hdw",2016-07-18 07:00:00,2016-09-19 06:59:59,2016-07-23 07:00:00
"POZJ3uOtEeSoXCIACw4Gzg","_e8PcvkKEeW6Zw7gOA-Tyw",2016-09-12 07:00:00,2016-11-14 07:59:59,2016-09-17 07:00:00
"POZJ3uOtEeSoXCIACw4Gzg","LtDEUe-UEeWB0QpuSDkq-Q",2016-03-28 07:00:00,2016-05-30 06:59:59,2016-04-02 07:00:00
"POZJ3uOtEeSoXCIACw4Gzg","CUHQV--dEeWWORKcDoY1lQ",2016-08-15 07:00:00,2016-10-17 06:59:59,2016-08-20 07:00:00
"POZJ3uOtEeSoXCIACw4Gzg","CT_Uhe-dEeWkUAr_DMJ5Lw",2016-04-25 07:00:00,2016-06-27 06:59:59,2016-04-30 07:00:00
