assessment_question_type_id,assessment_question_type_desc
2,"checkbox poll"
4,"math expression"
6,"poll"
5,"mcq"
3,"continue"
10,"text exact match"
8,"regex"
7,"reflect"
1,"checkbox"
9,"single numeric"
12,"checkboxReflect"
11,"mcqReflect"
