course_id,taiwan_feedback_user_id,feedback_system,feedback_rating,feedback_max_rating,feedback_ts
"POZJ3uOtEeSoXCIACw4Gzg",db9bc5795a073c448a969abfb8d16ef625d7de1f,"STAR",5,5,2015-11-29 18:22:52.177
"POZJ3uOtEeSoXCIACw4Gzg",f8906476ce52dbe313f1afab7f9d28bc99cf45e0,"NPS_FIRST_WEEK",8,10,2016-03-28 12:40:49.252
"POZJ3uOtEeSoXCIACw4Gzg",a52bba9d20792d6ef0503b10f493482d5d578700,"STAR",5,5,2016-03-22 00:34:17.958
"POZJ3uOtEeSoXCIACw4Gzg",d69197c88b6f9d09c2f5c18556e0dc23f2c4f084,"STAR",5,5,2015-09-12 08:19:26.991
"POZJ3uOtEeSoXCIACw4Gzg",4e9c2dff58087bb01c8cded029ce472114cd5568,"STAR",5,5,2016-04-04 08:02:26.351
"POZJ3uOtEeSoXCIACw4Gzg",157fa61aafc664b8b7ccff711b9ff0b8a0f45441,"STAR",5,5,2016-02-06 08:27:44.961
"POZJ3uOtEeSoXCIACw4Gzg",e7c06f732126b2ad0f354c0cdfe2905470d5de57,"NPS_FIRST_WEEK",10,10,2016-04-03 11:43:15.952
"POZJ3uOtEeSoXCIACw4Gzg",ecda05ec535fa597158603ba335cc58454419bf5,"STAR",5,5,2015-09-15 02:16:21.099
"POZJ3uOtEeSoXCIACw4Gzg",325c3f3a5235b8a8e1f00966f562d712a8788c47,"STAR",5,5,2015-08-18 08:07:36.579
"POZJ3uOtEeSoXCIACw4Gzg",b5af88c9e3db83112c5d63f922ac834c96e5a47f,"STAR",4,5,2015-08-14 04:57:11.973
"POZJ3uOtEeSoXCIACw4Gzg",2911c8f3ff29a617be6cc632cfeb6cc5676aef1a,"STAR",5,5,2015-08-29 16:55:49.116
"POZJ3uOtEeSoXCIACw4Gzg",b567ec88f192a7eb7d0d24ce6a6bf649689a8dcb,"STAR",5,5,2015-11-07 11:34:05.146
"POZJ3uOtEeSoXCIACw4Gzg",e12f88190d1485595e2353ebab58e24583bf4b05,"STAR",5,5,2015-09-21 10:05:30.113
"POZJ3uOtEeSoXCIACw4Gzg",9cf35dc8a596c2195d6f204b384d6dcd24c8b99c,"STAR",5,5,2015-10-10 15:20:12.159
"POZJ3uOtEeSoXCIACw4Gzg",0f069774b89289a7982b3b59a0de6a5c596821a6,"STAR",5,5,2015-09-17 06:32:57.365
"POZJ3uOtEeSoXCIACw4Gzg",d6e6f9f8a2092b149bd7ade07e6881f63b6a3dcf,"STAR",5,5,2015-12-11 11:34:50.216
"POZJ3uOtEeSoXCIACw4Gzg",36615f9461dca180aa44013b970aac319c4d59ba,"STAR",5,5,2016-03-31 17:52:33.524
