taiwan_discussions_user_id,course_id,discussion_question_id,discussion_question_following_active,discussion_question_following_ts
ac42bbaef7ffacda82edb86955f70c384e204a36,"POZJ3uOtEeSoXCIACw4Gzg","HOVQshOlEeWHGCIACznL2w",t,2015-06-15 22:59:14.26
9077c8cc86062eae4e457c86b2c4283125868bdf,"POZJ3uOtEeSoXCIACw4Gzg","HOVQshOlEeWHGCIACznL2w",t,2015-09-15 19:16:55.532
3c251d5f6e6a89f72ce56638da1a4242c4b93caf,"POZJ3uOtEeSoXCIACw4Gzg","HOVQshOlEeWHGCIACznL2w",t,2015-06-16 16:33:18.381
d854feb33c383ee2c0080c6a71ebef34467aed8f,"POZJ3uOtEeSoXCIACw4Gzg","HOVQshOlEeWHGCIACznL2w",t,2015-07-01 10:13:54.902
496dc708cfc3cc34aeb838427cbc6046cce48a45,"POZJ3uOtEeSoXCIACw4Gzg","HOVQshOlEeWHGCIACznL2w",t,2015-06-15 23:07:28.794
0390508a61b1f2a939c50c5eb0aa53a19e9c9642,"POZJ3uOtEeSoXCIACw4Gzg","HOVQshOlEeWHGCIACznL2w",t,2015-06-17 11:43:21.523
ded1381769b2dec6856dc1f20594ac2198e849a5,"POZJ3uOtEeSoXCIACw4Gzg","ZjjXazqUEeWnMCIAC9gGzQ",t,2015-08-04 10:34:34.949
d2106b3f03fdea07419329e2c77228a6aa6696de,"POZJ3uOtEeSoXCIACw4Gzg","5jwbzxSrEeWmISIAC9QOog",t,2015-06-17 04:47:03.948
1115a3d8d8099f51bf4f11a1f1df325e70cf3267,"POZJ3uOtEeSoXCIACw4Gzg","u49iG19wEeW-tBLRsFjxBw",t,2015-09-20 08:22:29.261
6984ab2209f80a79ab89678418d2bb1928178616,"POZJ3uOtEeSoXCIACw4Gzg","G0UqfyLEEeWmISIAC9QOog",t,2015-07-05 03:15:37.169
d7b7cf51337bd710671fda3e372030afaec83a47,"POZJ3uOtEeSoXCIACw4Gzg","G0UqfyLEEeWmISIAC9QOog",t,2015-07-05 12:58:23.206
eb03136268bb62a61beb8c8614d4892404c3f9a0,"POZJ3uOtEeSoXCIACw4Gzg","ZvPWXZvaEeWzwg7t8Z85Vw",t,2015-12-06 05:30:03.737
3a686f0ad845c80e217abd0dafa19648a633a5ea,"POZJ3uOtEeSoXCIACw4Gzg","5cGlwxQVEeWA7CIAC5WDNQ",t,2015-06-17 02:58:10.218
c098051b4f5c6de3ac559b38fa38e415de737554,"POZJ3uOtEeSoXCIACw4Gzg","ZvPWXZvaEeWzwg7t8Z85Vw",t,2016-01-15 04:12:05.86
a8ff600c540be5cb866fc839cac4ef83cb89bfd7,"POZJ3uOtEeSoXCIACw4Gzg","5cGlwxQVEeWA7CIAC5WDNQ",t,2015-06-16 10:53:18.641
d811c6a5c7463777d58cb66f1908461d1e6c6405,"POZJ3uOtEeSoXCIACw4Gzg","FJLUQUIoEeWTMBKhOZsGeQ",t,2015-08-24 05:51:54.788
b81910dac1005a7f53e176a6078d40155258d6ee,"POZJ3uOtEeSoXCIACw4Gzg","5cGlwxQVEeWA7CIAC5WDNQ",t,2015-06-17 07:24:12.963
af574a2b84ebc73047a9cd2db579fde44d148596,"POZJ3uOtEeSoXCIACw4Gzg","FJLUQUIoEeWTMBKhOZsGeQ",t,2015-08-14 02:48:50.559
496dc708cfc3cc34aeb838427cbc6046cce48a45,"POZJ3uOtEeSoXCIACw4Gzg","5cGlwxQVEeWA7CIAC5WDNQ",t,2015-06-16 19:41:27.084
bc2e2ca92103f409422ba38a8cba6b82b7d07a5e,"POZJ3uOtEeSoXCIACw4Gzg","FJLUQUIoEeWTMBKhOZsGeQ",t,2015-08-14 01:59:21.614
3189925ebf4864ae949584c07b544afa16bb6a47,"POZJ3uOtEeSoXCIACw4Gzg","4ojdcoCZEeWFDQ4Rhv_F_Q",t,2015-11-01 13:10:12.394
1115a3d8d8099f51bf4f11a1f1df325e70cf3267,"POZJ3uOtEeSoXCIACw4Gzg","4ojdcoCZEeWFDQ4Rhv_F_Q",f,2015-11-10 05:22:32.096
1115a3d8d8099f51bf4f11a1f1df325e70cf3267,"POZJ3uOtEeSoXCIACw4Gzg","4ojdcoCZEeWFDQ4Rhv_F_Q",f,2015-11-10 04:31:09.588
1115a3d8d8099f51bf4f11a1f1df325e70cf3267,"POZJ3uOtEeSoXCIACw4Gzg","4ojdcoCZEeWFDQ4Rhv_F_Q",t,2015-11-01 15:41:36.044
1115a3d8d8099f51bf4f11a1f1df325e70cf3267,"POZJ3uOtEeSoXCIACw4Gzg","4ojdcoCZEeWFDQ4Rhv_F_Q",t,2015-11-10 04:31:12.356
9302b7490c79ead5ea5c0ac601b90ed54e810d1e,"POZJ3uOtEeSoXCIACw4Gzg","u4hyOieVEeWSQSIAC5cRKQ",t,2015-07-11 09:34:48.181
ebaf5da7c6155aabe15af3c8122f2e529dd06a7b,"POZJ3uOtEeSoXCIACw4Gzg","u4hyOieVEeWSQSIAC5cRKQ",t,2015-08-22 18:09:41.249
965d307469473b578a8607a357924882fa377c24,"POZJ3uOtEeSoXCIACw4Gzg","tbf3PxSAEeWA7CIAC5WDNQ",t,2016-02-16 08:30:37.052
d235fb54ad258037707b6efbade1e76e954d84a5,"POZJ3uOtEeSoXCIACw4Gzg","u4hyOieVEeWSQSIAC5cRKQ",t,2015-07-12 16:18:29.091
f9b470b5ad07237a01eb8b2d3f564e4823f8cfe7,"POZJ3uOtEeSoXCIACw4Gzg","tbf3PxSAEeWA7CIAC5WDNQ",t,2016-02-26 12:47:34.849
f9b470b5ad07237a01eb8b2d3f564e4823f8cfe7,"POZJ3uOtEeSoXCIACw4Gzg","tbf3PxSAEeWA7CIAC5WDNQ",f,2016-02-26 12:47:36.196
1fb0054ad719952f14f3af26f2c13da03f6eda65,"POZJ3uOtEeSoXCIACw4Gzg","tbf3PxSAEeWA7CIAC5WDNQ",t,2015-06-16 23:37:54.212
191552683106db31543b7c0b349f91274832720c,"POZJ3uOtEeSoXCIACw4Gzg","u4hyOieVEeWSQSIAC5cRKQ",t,2015-07-14 06:13:08.746
b303e4355e54c9a5f5a55d0d0e7d638f367981a1,"POZJ3uOtEeSoXCIACw4Gzg","tbf3PxSAEeWA7CIAC5WDNQ",t,2015-06-17 00:03:22.854
a7eb9b1fd7649710edc284e57020c90b2a532449,"POZJ3uOtEeSoXCIACw4Gzg","u4hyOieVEeWSQSIAC5cRKQ",t,2015-07-11 06:26:15.479
b2c15d1e0dbb37a3289c9ae4a1a965339d8be3b5,"POZJ3uOtEeSoXCIACw4Gzg","idyKoinwEeWmViIAC5MTmg",t,2015-07-16 04:32:42.675
