taiwan_discussions_user_id,course_id,discussion_answer_id,discussion_answer_vote_value,discussion_answer_vote_ts
d70c71f99c38ce4b1abb82f08cf2e157e6b30beb,"POZJ3uOtEeSoXCIACw4Gzg","AEq-fhSREeWM2iIAC0KUpw",1,2015-07-05 06:22:23.694
d70c71f99c38ce4b1abb82f08cf2e157e6b30beb,"POZJ3uOtEeSoXCIACw4Gzg","AEq-fhSREeWM2iIAC0KUpw",0,2015-07-05 06:22:23.027
d70c71f99c38ce4b1abb82f08cf2e157e6b30beb,"POZJ3uOtEeSoXCIACw4Gzg","AEq-fhSREeWM2iIAC0KUpw",0,2015-07-05 06:22:20.094
d70c71f99c38ce4b1abb82f08cf2e157e6b30beb,"POZJ3uOtEeSoXCIACw4Gzg","AEq-fhSREeWM2iIAC0KUpw",1,2015-07-05 06:22:19.226
d70c71f99c38ce4b1abb82f08cf2e157e6b30beb,"POZJ3uOtEeSoXCIACw4Gzg","AEq-fhSREeWM2iIAC0KUpw",1,2015-07-05 06:22:22.326
b3ca83c80b029a9e0bd9d34814b6cbe11364905f,"POZJ3uOtEeSoXCIACw4Gzg","AEq-fhSREeWM2iIAC0KUpw",1,2015-08-03 02:08:37.395
ed98da8dcb0860716248d4ee1ead6c7c6ab3c9cd,"POZJ3uOtEeSoXCIACw4Gzg","AEq-fhSREeWM2iIAC0KUpw",1,2015-06-24 12:40:27.543
5b480b3db2da4decfab3e2e9d014ca09705da3ef,"POZJ3uOtEeSoXCIACw4Gzg","AEq-fhSREeWM2iIAC0KUpw",1,2015-06-23 11:44:53.432
f639aab5875bdb96a082cb1e85f35ca5984b9c25,"POZJ3uOtEeSoXCIACw4Gzg","hI_pWR5XEeWM2iIAC0KUpw",1,2015-08-19 10:09:30.24
06a8cdf73438a993af9c187f8c9db443a2a733ae,"POZJ3uOtEeSoXCIACw4Gzg","hI_pWR5XEeWM2iIAC0KUpw",0,2015-10-17 12:26:52.971
06a8cdf73438a993af9c187f8c9db443a2a733ae,"POZJ3uOtEeSoXCIACw4Gzg","hI_pWR5XEeWM2iIAC0KUpw",1,2015-10-17 12:26:51.309
df442be2c49a141c3a907e7e82e95370127f92c2,"POZJ3uOtEeSoXCIACw4Gzg","A8QsmBU7EeWmISIAC9QOog",1,2015-06-18 11:38:04.781
bf92a3a4a131816bd1ae1ddefe551f50fa6c1d2f,"POZJ3uOtEeSoXCIACw4Gzg","hI_pWR5XEeWM2iIAC0KUpw",1,2015-07-28 16:07:35.484
9abaea5ecfedaaa1dfe2bdd39f5c011bc8a37eac,"POZJ3uOtEeSoXCIACw4Gzg","lGALyRQ2EeWM2iIAC0KUpw",1,2015-06-18 07:29:28.695
d2907c51fb217886769f3730d339e7779be00cc8,"POZJ3uOtEeSoXCIACw4Gzg","lGALyRQ2EeWM2iIAC0KUpw",1,2015-06-24 15:26:30.813
d2907c51fb217886769f3730d339e7779be00cc8,"POZJ3uOtEeSoXCIACw4Gzg","lGALyRQ2EeWM2iIAC0KUpw",0,2015-06-24 15:26:33.177
72788ab0009dffd540192337c8c4a9929644f545,"POZJ3uOtEeSoXCIACw4Gzg","XbBt5RPlEeWYoCIAC5MBcw",1,2015-07-04 03:39:55.763
9abaea5ecfedaaa1dfe2bdd39f5c011bc8a37eac,"POZJ3uOtEeSoXCIACw4Gzg","XbBt5RPlEeWYoCIAC5MBcw",1,2015-06-18 07:29:22.447
b944aafc663b03c0b329c9b8b7cd9a08065d1ebb,"POZJ3uOtEeSoXCIACw4Gzg","XbBt5RPlEeWYoCIAC5MBcw",1,2015-07-16 04:47:08.506
a81bb0b09ae9c8d11edf088ce0d33fa2087938f3,"POZJ3uOtEeSoXCIACw4Gzg","XbBt5RPlEeWYoCIAC5MBcw",1,2015-06-24 10:07:52.313
5a51df8ed2cd7caf59fa0fcd72cd1e213c044167,"POZJ3uOtEeSoXCIACw4Gzg","XbBt5RPlEeWYoCIAC5MBcw",1,2015-07-07 16:01:03.164
cc172ef2bdad3bf9f31c234ec8ce00365163e636,"POZJ3uOtEeSoXCIACw4Gzg","XbBt5RPlEeWYoCIAC5MBcw",1,2015-06-22 09:08:04.254
b3de8bc3d5f873a316a38904128cc1bcdad49232,"POZJ3uOtEeSoXCIACw4Gzg","XbBt5RPlEeWYoCIAC5MBcw",1,2015-06-26 04:34:01.711
d2080c90f7802e2a0ce07b65272c163757faf97d,"POZJ3uOtEeSoXCIACw4Gzg","Ue7V5RaLEeWA7CIAC5WDNQ",0,2016-01-22 10:39:16.14
d2080c90f7802e2a0ce07b65272c163757faf97d,"POZJ3uOtEeSoXCIACw4Gzg","Ue7V5RaLEeWA7CIAC5WDNQ",1,2016-01-22 10:39:04.858
882a34625b9db3673642ea0d0c5f0b34017a9e9f,"POZJ3uOtEeSoXCIACw4Gzg","C_sxyxSsEeWd3iIAC7VAtA",1,2015-06-17 15:11:07.936
