course_id,on_demand_session_id,taiwan_user_id,on_demand_sessions_membership_start_ts,on_demand_sessions_membership_end_ts
"POZJ3uOtEeSoXCIACw4Gzg","CT_Uhe-dEeWkUAr_DMJ5Lw",0e587c942497a86690952bd8139c4a73717375f0,2016-04-16 06:50:25.13,
"POZJ3uOtEeSoXCIACw4Gzg","LtDEUe-UEeWB0QpuSDkq-Q",fe500d3f3054516f800595fa8a1f4feccfef6a01,2016-03-31 13:31:58.612,
"POZJ3uOtEeSoXCIACw4Gzg","CT_Uhe-dEeWkUAr_DMJ5Lw",60d1d8bf5083953d0ac98e2f2fa842d20a6e0f17,2016-04-15 06:28:30.547,
"POZJ3uOtEeSoXCIACw4Gzg","LtDEUe-UEeWB0QpuSDkq-Q",55d44148a0bbf5601d82eab9dfdd17adbb671089,2016-03-27 19:34:58.399,
"POZJ3uOtEeSoXCIACw4Gzg","LtDEUe-UEeWB0QpuSDkq-Q",7f97a309ec4406e0ee3afa3a3f8ded075d4400eb,2016-03-29 14:07:40.573,
"POZJ3uOtEeSoXCIACw4Gzg","LtDEUe-UEeWB0QpuSDkq-Q",581fe3b59edac2d7ca6a02d38bf2ea95f0b2c623,2016-04-01 08:33:57.991,
"POZJ3uOtEeSoXCIACw4Gzg","LtDEUe-UEeWB0QpuSDkq-Q",1a4fe22ec749e20e63387ad93e4d8290580a8e10,2016-03-21 23:20:27.326,
"POZJ3uOtEeSoXCIACw4Gzg","CT_Uhe-dEeWkUAr_DMJ5Lw",413f0cd8eebea70825e4e6616eee8805f6b667f6,2016-04-11 00:52:06.38,
"POZJ3uOtEeSoXCIACw4Gzg","CT_Uhe-dEeWkUAr_DMJ5Lw",5c2c009d9ceb6fdcda9feaf15e0118ca383bc010,2016-04-15 07:50:35.739,
"POZJ3uOtEeSoXCIACw4Gzg","LtDEUe-UEeWB0QpuSDkq-Q",6b07b87a3599a8f8e79060fe19d370a2b12392a1,2016-04-01 14:37:12.847,
"POZJ3uOtEeSoXCIACw4Gzg","CT_Uhe-dEeWkUAr_DMJ5Lw",3d5aefc06945f491e32762af015d77a794121975,2016-04-09 05:33:33.454,
"POZJ3uOtEeSoXCIACw4Gzg","LtDEUe-UEeWB0QpuSDkq-Q",7260b25b1e79b82fc1291a8a63a10810a159fb27,2016-03-25 00:24:59.823,
"POZJ3uOtEeSoXCIACw4Gzg","LtDEUe-UEeWB0QpuSDkq-Q",d851275b009be21c5321cd3660cb65a08e781468,2016-04-01 02:05:25.351,
"POZJ3uOtEeSoXCIACw4Gzg","LtDEUe-UEeWB0QpuSDkq-Q",e5d58f7b89d4d6151f89d31f60ebb3ee2c603b9d,2016-04-01 05:50:17.249,
"POZJ3uOtEeSoXCIACw4Gzg","LtDEUe-UEeWB0QpuSDkq-Q",01741df58ccb01fa07911426db810ea19ea17990,2016-03-22 12:44:09.649,
"POZJ3uOtEeSoXCIACw4Gzg","LtDEUe-UEeWB0QpuSDkq-Q",7d8eea2bdbd2712cb566387246705bade43ff26b,2016-03-24 02:23:32.448,2016-03-24 06:15:55.025
"POZJ3uOtEeSoXCIACw4Gzg","CT_Uhe-dEeWkUAr_DMJ5Lw",83a83ed70e5d96870f5b273c7c5401d0145dc001,2016-04-04 12:04:09.229,
"POZJ3uOtEeSoXCIACw4Gzg","CT_Uhe-dEeWkUAr_DMJ5Lw",ffee81f490db3789cb798658fc85da340a32db70,2016-04-12 16:03:57.946,
