"Age","Male","Female"
"~10",833,625
"11~20",682,284
"21~30",1907,765
"31~40",3888,1207
"41~50",7777,2649
"51~60",10102,4418
"61~70",11599,6717
"71~80",20846,12597
"81~90",15705,12656
"91~",3569,4737
