"Age","Male","Female"
"~10",812,620
"11~20",566,257
"21~30",1646,727
"31~40",3559,1165
"41~50",7683,2688
"51~60",10442,4614
"61~70",11823,6793
"71~80",20878,12885
"81~90",17004,13944
"91~",3912,5474
