"Age","Male","Female"
"~10",701,573
"11~20",543,276
"21~30",1417,656
"31~40",3353,1112
"41~50",7336,2613
"51~60",11174,4846
"61~70",11464,6487
"71~80",19466,12949
"81~90",19280,15242
"91~",4539,6036
