"Age","Male","Female"
"~10",771,622
"11~20",555,256
"21~30",1472,659
"31~40",3439,1205
"41~50",7646,2682
"51~60",10890,4522
"61~70",11711,6540
"71~80",20470,13062
"81~90",18532,14700
"91~",4321,6033
