Time	Rainfall	GroundWater	Distance
2012/6/12 22:00	497.8333333	-37.41555184	1.459371393
2012/6/13 0:00	514.5	-37.11120401	1.494781326
2012/6/13 2:00	532.5625	-36.80685619	1.493053607
2012/6/13 4:00	550.625	-36.50250836	1.528479429
2012/6/13 6:00	568.6875	-36.19816054	1.571288388
2012/6/13 8:00	586.75	-35.89381271	1.585100729
2012/6/13 10:00	604.8125	-35.58946488	1.534476641
2012/6/13 12:00	622.875	-35.28511706	1.578424175
2012/6/13 14:00	640.9375	-34.98076923	1.568406267
2012/6/13 16:00	659	-34.6764214	1.596789186
2012/6/13 18:00	677.0625	-34.37207358	1.634686663
2012/6/13 20:00	695.125	-34.06772575	1.646506318
2012/6/13 22:00	713.1875	-33.76337793	1.671298887
2012/6/14 0:00	731.25	-33.4590301	1.684141614
2012/6/14 2:00	749.3125	-33.15468227	1.698816066
2012/6/14 4:00	767.375	-32.85033445	1.715654856
2012/6/14 6:00	785.4375	-32.54598662	1.742162059
2012/6/14 8:00	803.5	-32.2416388	1.755508795
2012/6/14 10:00	821.5625	-31.93729097	1.770098502
2012/6/14 12:00	839.625	-31.63294314	1.801282387
2012/6/14 14:00	857.6875	-31.32859532	1.82630555
2012/6/14 16:00	875.75	-31.02424749	1.841948711
2012/6/14 18:00	893.8125	-30.71989967	1.859522253
2012/6/14 20:00	911.875	-30.41555184	1.881338517
2012/6/14 22:00	929.9375	-30.11120401	1.894807892
2012/6/15 0:00	948	-29.80685619	1.869383799
2012/6/15 2:00	948.2083333	-29.50250836	1.88787734
2012/6/15 4:00	948.4166667	-29.19816054	1.900525211
2012/6/15 6:00	948.625	-28.89381271	1.910036347
2012/6/15 8:00	948.8333333	-28.58946488	1.922472218
2012/6/15 10:00	949.0416667	-28.28511706	1.930813256
2012/6/15 12:00	949.25	-27.98076923	1.958664963
2012/6/15 14:00	949.4583333	-27.6764214	1.958567587
2012/6/15 16:00	949.6666667	-27.37207358	1.970807296
2012/6/15 18:00	949.875	-27.06772575	1.972766691
2012/6/15 20:00	950.0833333	-26.76337793	1.98013378
2012/6/15 22:00	950.2916667	-26.61337793	1.985964484
2012/6/16 0:00	950.5	-26.46337793	2.058587479
2012/6/16 2:00	950.7083333	-26.31337793	2.056897355
2012/6/16 4:00	950.9166667	-26.16337793	2.067187066
2012/6/16 6:00	951.125	-26.01337793	2.080469058
2012/6/16 8:00	951.3333333	-25.86337793	2.093287908
2012/6/16 10:00	951.5416667	-25.71337793	2.106421029
2012/6/16 12:00	951.75	-25.56337793	2.056404225
2012/6/16 14:00	951.9583333	-25.41337793	2.074060444
2012/6/16 16:00	952.1666667	-25.26337793	2.075958592
2012/6/16 18:00	952.375	-25.11337793	2.086278977
2012/6/16 20:00	952.5833333	-24.96337793	2.094663426
2012/6/16 22:00	952.7916667	-24.81337793	2.097235108
2012/6/17 0:00	953	-24.66337793	2.08395685
